CustomerID,Total_Orders,Total_Items,Unique_Products,Total_Revenue,Avg_Order_Value
12346.0,1,74215,1,77183.6,77183.6
12347.0,7,2458,103,4310.0,615.7142857142857
12348.0,4,2341,22,1797.24,449.31
12349.0,1,631,73,1757.55,1757.55
12350.0,1,197,17,334.4,334.4
12352.0,8,536,59,2506.04,313.255
12353.0,1,20,4,89.0,89.0
12354.0,1,530,58,1079.4,1079.4
12355.0,1,240,13,459.4,459.4
12356.0,3,1591,53,2811.43,937.1433333333333
12357.0,1,2708,131,6207.67,6207.67
12358.0,2,248,13,1168.06,584.03
12359.0,4,1622,213,6372.58,1593.145
12360.0,3,1165,105,2662.06,887.3533333333334
12361.0,1,91,10,189.9,189.9
12362.0,10,2229,201,5226.23,522.6229999999999
12363.0,2,408,23,552.0,276.0
12364.0,4,1506,70,1313.1,328.275
12365.0,2,174,22,641.38,320.69
12367.0,1,173,11,168.9,168.9
12370.0,4,2353,143,3545.69,886.4225
12371.0,2,591,63,1887.96,943.98
12372.0,3,794,34,1298.04,432.68
12373.0,1,197,14,364.6,364.6
12374.0,1,342,33,742.9300000000001,742.9300000000001
12375.0,2,178,14,457.5,228.75
12377.0,2,944,72,1628.12,814.06
12378.0,1,2529,219,4008.62,4008.62
12379.0,2,407,39,852.24,426.12
12380.0,4,1127,77,2724.81,681.2025
12381.0,5,808,70,1845.31,369.062
12383.0,5,1532,84,1850.56,370.11199999999997
12384.0,2,126,26,585.27,292.635
12386.0,2,354,10,401.9,200.95
12388.0,6,1462,58,2780.66,463.4433333333333
12390.0,1,353,32,549.84,549.84
12391.0,1,300,92,460.89,460.89
12393.0,4,816,49,1582.6000000000001,395.65000000000003
12394.0,2,819,26,1272.48,636.24
12395.0,12,2118,91,3018.63,251.5525
12397.0,2,1263,110,2409.9,1204.95
12398.0,1,1394,85,1635.6599999999999,1635.6599999999999
12399.0,4,1178,47,1108.65,277.1625
12401.0,1,11,5,84.3,84.3
12402.0,1,94,11,225.6,225.6
12403.0,1,96,5,427.7,427.7
12405.0,1,857,54,1710.39,1710.39
12406.0,2,1818,91,3415.3,1707.65
12407.0,5,1416,57,1708.1200000000001,341.624
12408.0,5,1409,81,2888.55,577.71
12409.0,3,5551,91,11072.67,3690.89
12410.0,2,211,26,693.3299999999999,346.66499999999996
12412.0,3,829,44,1226.88,408.96000000000004
12413.0,3,286,29,758.1,252.70000000000002
12414.0,3,300,16,562.41,187.47
12415.0,21,77374,451,124914.53,5948.310952380953
12417.0,9,1552,159,3649.1,405.4555555555555
12418.0,1,407,34,668.58,668.58
12420.0,1,345,29,600.39,600.39
12421.0,4,484,32,807.04,201.76
12422.0,3,370,39,803.5600000000001,267.85333333333335
12423.0,8,1339,96,1859.31,232.41375
12424.0,2,740,30,1760.96,880.48
12425.0,1,496,36,777.2,777.2
12426.0,1,258,30,582.73,582.73
12427.0,3,533,26,825.8,275.26666666666665
12428.0,9,3536,259,7956.46,884.0511111111111
12429.0,4,1557,82,3750.4,937.6
12430.0,1,117,11,256.4,256.4
12431.0,15,2906,163,6487.45,432.49666666666667
12432.0,5,1801,107,5059.32,1011.8639999999999
12433.0,7,11071,222,13375.87,1910.8385714285716
12434.0,2,394,46,806.14,403.07
12435.0,2,2055,31,7829.89,3914.945
12436.0,1,211,16,509.01,509.01
12437.0,18,2922,119,4951.41,275.0783333333333
12438.0,2,1180,85,2906.85,1453.425
12441.0,1,121,11,173.55,173.55
12442.0,1,182,12,172.06,172.06
12444.0,5,1153,138,5005.46,1001.092
12445.0,1,62,4,133.4,133.4
12446.0,1,351,57,1002.3100000000001,1002.3100000000001
12447.0,1,190,26,476.49,476.49
12448.0,1,243,22,449.45,449.45
12449.0,4,1553,119,4067.29,1016.8225
12450.0,2,128,7,197.88,98.94
12451.0,5,6575,265,9035.52,1807.104
12452.0,2,185,21,430.57,215.285
12453.0,1,473,43,707.09,707.09
12454.0,1,1006,15,3528.34,3528.34
12455.0,6,2089,85,2466.86,411.1433333333334
12456.0,3,1633,105,3181.04,1060.3466666666666
12457.0,7,843,53,2363.23,337.6042857142857
12458.0,2,506,35,947.4,473.7
12461.0,2,287,35,826.88,413.44
12462.0,2,536,52,1189.59,594.795
12463.0,4,776,65,1344.78,336.195
12464.0,8,112,6,1212.05,151.50625
12465.0,2,479,46,742.1899999999999,371.09499999999997
12468.0,2,366,36,729.5400000000001,364.77000000000004
12471.0,30,8212,153,19824.05,660.8016666666666
12472.0,7,4148,221,6572.11,938.8728571428571
12473.0,5,2439,140,3938.5499999999997,787.7099999999999
12474.0,18,4847,254,7375.79,409.7661111111111
12475.0,1,535,36,723.38,723.38
12476.0,11,2408,178,6816.42,619.6745454545454
12477.0,6,3653,193,13219.74,2203.29
12478.0,1,236,36,680.99,680.99
