Segment,Total_Revenue,Avg_Revenue,Customer_Count,Avg_Recency,Avg_Frequency,Revenue_Percentage,Customer_Percentage
232,19455.36,374.14,52,124.08,2.29,0.2,1.2
233,56940.5,669.89,85,118.62,2.28,0.6,2.0
234,65991.18,1293.94,51,108.47,2.57,0.7,1.2
242,5734.63,382.31,15,115.13,3.6,0.1,0.3
243,33290.88,708.32,47,118.17,3.64,0.4,1.1
253,5100.36,850.06,6,91.17,7.0,0.1,0.1
324,27258.96,1239.04,22,56.59,1.68,0.3,0.5
334,50695.88,1334.1,38,53.11,2.66,0.6,0.9
342,4929.83,410.82,12,58.83,3.42,0.1,0.3
343,45114.31,704.91,64,49.45,3.62,0.5,1.5
344,121824.37,1467.76,83,50.23,4.22,1.4,1.9
345,126134.32,3234.21,39,53.05,4.36,1.4,0.9
353,3828.12,765.62,5,57.6,6.8,0.0,0.1
354,49562.26,1501.89,33,51.33,7.21,0.6,0.8
355,423612.53,5295.16,80,48.76,9.26,4.8,1.8
424,15191.39,1168.57,13,23.85,1.69,0.2,0.3
434,50633.47,1298.29,39,24.87,2.64,0.6,0.9
444,170442.59,1397.07,122,22.51,4.11,1.9,2.8
445,165910.09,3770.68,44,25.09,4.55,1.9,1.0
454,94160.92,1543.62,61,22.52,7.79,1.1,1.4
455,1087837.3,6111.45,178,22.33,10.91,12.2,4.1
At Risk,369840.02,2227.95,166,125.99,5.54,4.2,3.8
Champions,4532132.28,7491.13,605,5.77,12.66,50.9,13.9
Hibernating,115242.75,528.64,218,209.36,2.46,1.3,5.0
High Value Newcomers,390641.57,5830.47,67,102.82,2.25,4.4,1.5
Lost Customers,384291.98,365.99,1050,218.29,1.1,4.3,24.2
Loyal Customers,128241.64,489.47,262,7.1,2.47,1.4,6.0
Need Attention,299068.56,383.42,780,40.46,1.5,3.4,18.0
Potential Loyalists,68299.85,676.24,101,22.21,3.95,0.8,2.3
